
| Emp ID | Name    | Department | SalAry | Start Date |     |     |
| ------ | ------- | ---------- | ------ | ---------- | --- | --- |
| E001   | Alice   | HR         | 65000  | 2021-01-15 |     |     |
| E002   | Bob     | Finance    | 80000  | 2020-05-20 |     |     |
| E003   | Charlie | IT         | 92000  | 2022-11-01 |     |     |
| E004   | David   | HR         | NaN    | 2023-03-10 |     |     |
| E005   | Eve     | Finance    | 75000  | 2021-08-25 |     |     |
| E006   | Frank   | IT         | NaN    | 2022-07-07 |     |     |
| E007   | Grace   | Sales      | 58000  | 2023-01-01 |     |     |
| E008   | Henry   | NaN        | 88000  | 2020-04-12 |     |     |
| E009   | Ivy     | Sales      | 62000  | 2023-06-19 |     |     |
| E010   | Jack    | IT         | 95000  | 2021-12-05 |     |     |
